year,stock,capture,effort
2009,Carcharhinus falciformis,14925,42
2009,Carcharhinus leucas,188969,3824
2009,Centropomus robalito,414215,8716
2009,Gerreidae,167920,19528
2009,Gerreidae2,801574,2997
2009,Hoplopagrus guntheri,90540,2113
2009,Lutjanus guttatus,55535,1078
2009,Megapitaria squalida,1362648,3154
2009,Panulirus interruptus,1643958,3205
2009,Paralabrax nebulifer,3248375,3558
2009,Prionace glauca,2987578,5855
2009,Scomberomorus sierra,829625,1933164
2009,Scomberomorus sierra2,2819629,3926137
2009,Sphyrna lewini,201894,1306
2009,Squatina californica,660398,4072
2010,Callinectes bellicosus,6772470,20602
2010,Carcharhinus falciformis,38460,125
2010,Carcharhinus leucas,218741,4137
2010,Centropomus robalito,422364,9159
2010,Gerreidae,89168,17901
2010,Gerreidae2,823205,2435
2010,Hoplopagrus guntheri,96000,2664
2010,Lutjanus guttatus,63533,1427
2010,Megapitaria squalida,1030688,2332
2010,Panulirus interruptus,1541150,3485
2010,Paralabrax nebulifer,3071749,3667
2010,Prionace glauca,2883934,6216
2010,Scomberomorus sierra,925117,2499049
2010,Scomberomorus sierra2,3134408,4670414
2010,Sphyrna lewini,149145,1243
2010,Squatina californica,547752,4447
2011,Callinectes bellicosus,10289631,13952
2011,Carcharhinus falciformis,30212,105
2011,Carcharhinus leucas,286429,3931
2011,Centropomus robalito,359956,8232
2011,Gerreidae,129579,20035
2011,Gerreidae2,1037328,2619
2011,Hoplopagrus guntheri,82481,2522
2011,Lutjanus guttatus,54426,1258
2011,Megapitaria squalida,1130436,2507
2011,Panulirus interruptus,2267139,3945
2011,Paralabrax nebulifer,3739631,3681
2011,Prionace glauca,3579503,6155
2011,Scomberomorus sierra,793763,2253100
2011,Scomberomorus sierra2,3004601,4570273
2011,Sphyrna lewini,89620,897
2011,Squatina californica,782175,4959
2012,Callinectes bellicosus,11718504,17804
2012,Carcharhinus falciformis,61994,76
2012,Carcharhinus leucas,300381,7730
2012,Centropomus robalito,492366,11936
2012,Gerreidae,105748,23761
2012,Gerreidae2,1222827,2429
2012,Hoplopagrus guntheri,86053,2791
2012,Lutjanus guttatus,42028,1112
2012,Megapitaria squalida,997705,2303
2012,Panulirus interruptus,2105004,3967
2012,Paralabrax nebulifer,4351041,4328
2012,Prionace glauca,3857351,5601
2012,Scomberomorus sierra,1152669,3088449
2012,Scomberomorus sierra2,3652966,2654005
2012,Sphyrna lewini,94875,1118
2012,Squatina californica,734999,5027
2013,Callinectes bellicosus,12043775,18305
2013,Carcharhinus falciformis,74143,106
2013,Carcharhinus leucas,286239,6482
2013,Centropomus robalito,576344,12272
2013,Gerreidae,94421,20981
2013,Gerreidae2,972513,2284
2013,Hoplopagrus guntheri,100469,3718
2013,Lutjanus guttatus,37334,1068
2013,Megapitaria squalida,1289112,2533
2013,Panulirus interruptus,1836340,3888
2013,Paralabrax nebulifer,3572043,4155
2013,Prionace glauca,3351631,5019
2013,Scomberomorus sierra,1096746,2386259
2013,Scomberomorus sierra2,2859928,3792996
2013,Sphyrna lewini,165361,1569
2013,Squatina californica,779862,4034
2014,Callinectes bellicosus,12986381,21184
2014,Carcharhinus falciformis,57508,305
2014,Carcharhinus leucas,328292,5768
2014,Centropomus robalito,686070,12564
2014,Gerreidae,34665,16698
2014,Gerreidae2,965316,1280
2014,Hoplopagrus guntheri,115125,3616
2014,Lutjanus guttatus,49993,1069
2014,Megapitaria squalida,1174207,2313
2014,Panulirus interruptus,1938971,4144
2014,Paralabrax nebulifer,3199510,3454
2014,Prionace glauca,3769463,7712
2014,Scomberomorus sierra,879655,1527877
2014,Scomberomorus sierra2,2368886,3926874
2014,Sphyrna lewini,564565,4580
2014,Squatina californica,737118,3673
2015,Callinectes bellicosus,13111880,24570
2015,Carcharhinus falciformis,40004,439
2015,Carcharhinus leucas,701287,6921
2015,Centropomus robalito,652824,15122
2015,Gerreidae,76007,18788
2015,Gerreidae2,1146889,2443
2015,Hoplopagrus guntheri,135072,3575
2015,Lutjanus guttatus,88824,1450
2015,Megapitaria squalida,1259770,2874
2015,Panulirus interruptus,1571749,4866
2015,Paralabrax nebulifer,2322280,3622
2015,Prionace glauca,3693069,7068
2015,Scomberomorus sierra,1094205,1719368
2015,Scomberomorus sierra2,2661031,3286611
2015,Sphyrna lewini,1329467,6050
2015,Squatina californica,719067,4115
2016,Callinectes bellicosus,14066949,25020
2016,Carcharhinus falciformis,174661,432
2016,Carcharhinus leucas,1263893,7941
2016,Centropomus robalito,1036748,18126
2016,Gerreidae,60833,147552
2016,Gerreidae2,1413235,2405
2016,Hoplopagrus guntheri,160717,3942
2016,Lutjanus guttatus,169442,2262
2016,Megapitaria squalida,1060904,2401
2016,Panulirus interruptus,1289473,5187
2016,Paralabrax nebulifer,2331114,3689
2016,Prionace glauca,3591370,6841
2016,Scomberomorus sierra,1357680,2121639
2016,Scomberomorus sierra2,2826571,3879602
2016,Sphyrna lewini,3811652,6343
2016,Squatina californica,657782,4755
2017,Callinectes bellicosus,17363701,29277
2017,Carcharhinus falciformis,2296089,1139
2017,Carcharhinus leucas,806079,7742
2017,Centropomus robalito,1106540,18587
2017,Gerreidae,86984,21408
2017,Gerreidae2,1517458,3940
2017,Hoplopagrus guntheri,195050,4276
2017,Lutjanus guttatus,545257,3569
2017,Megapitaria squalida,788072,1662
2017,Panulirus interruptus,1850425,5314
2017,Paralabrax nebulifer,2468437,3521
2017,Prionace glauca,3068018,6414
2017,Scomberomorus sierra,2800316,3934737
2017,Scomberomorus sierra2,4852846,4044312
2017,Sphyrna lewini,3033797,5436
2017,Squatina californica,766567,4359
2018,Callinectes bellicosus,19012074,29111
2018,Carcharhinus falciformis,2315614,1391
2018,Carcharhinus leucas,852155,8302
2018,Centropomus robalito,1185361,17785
2018,Gerreidae,97715,21045
2018,Gerreidae2,1453452,3190
2018,Hoplopagrus guntheri,183661,3988
2018,Lutjanus guttatus,485865,4115
2018,Megapitaria squalida,671398,1441
2018,Panulirus interruptus,1903687,4483
2018,Paralabrax nebulifer,3566281,3671
2018,Prionace glauca,2580414,5370
2018,Scomberomorus sierra,3646228,1870799
2018,Scomberomorus sierra2,3037877,3404310
2018,Sphyrna lewini,849870,3807
2018,Squatina californica,964177,4730
2019,Callinectes bellicosus,20554178,33832
2019,Carcharhinus falciformis,1180404,1273
2019,Carcharhinus leucas,708986,11136
2019,Centropomus robalito,1091724,20088
2019,Gerreidae,90641,22481
2019,Gerreidae2,1449847,2147
2019,Hoplopagrus guntheri,148607,3487
2019,Lutjanus guttatus,402139,2834
2019,Megapitaria squalida,825798,1853
2019,Panulirus interruptus,2075953,6613
2019,Paralabrax nebulifer,3811085,5461
2019,Prionace glauca,3482794,6149
2019,Scomberomorus sierra,3957646,2444141
2019,Scomberomorus sierra2,3290773,3757542
2019,Sphyrna lewini,914663,4310
2019,Squatina californica,1009423,4081
2020,Callinectes bellicosus,18818053,30329
2020,Carcharhinus falciformis,3641048,2608
2020,Carcharhinus leucas,623510,7170
2020,Centropomus robalito,845928,13119
2020,Gerreidae,146881,15533
2020,Gerreidae2,1100812,1825
2020,Hoplopagrus guntheri,121300,3702
2020,Lutjanus guttatus,212987,4320
2020,Megapitaria squalida,612876,2099
