stock,year,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Callinectes bellicosus,2000,1.848711034,0.220957626,1.848711034,0.220957626
Callinectes bellicosus,2001,2.165320089,0.169189377,2.165320089,0.169189377
Callinectes bellicosus,2002,1.632141081,0.172337023,1.632141081,0.172337023
Callinectes bellicosus,2003,1.362412053,0.143095243,1.362412053,0.143095243
Callinectes bellicosus,2004,1.28031949,0.203261595,1.28031949,0.203261595
Callinectes bellicosus,2005,1.231535621,0.304230164,1.231535621,0.304230164
Callinectes bellicosus,2006,0.899715775,0.599476816,0.899715775,0.599476816
Callinectes bellicosus,2007,0.694783992,0.717367482,0.694783992,0.717367482
Callinectes bellicosus,2008,0.592355819,1.167608715,0.592355819,1.167608715
Callinectes bellicosus,2009,0.388064629,1.039097418,0.388064629,1.039097418
Callinectes bellicosus,2010,0.288332129,1.002077848,0.288332129,1.002077848
Callinectes bellicosus,2011,0.371097131,1.182931547,0.371097131,1.182931547
Callinectes bellicosus,2012,0.382393461,1.307401943,0.382393461,1.307401943
Callinectes bellicosus,2013,0.374250493,1.372927687,0.374250493,1.372927687
Callinectes bellicosus,2014,0.363302023,1.524992592,0.363302023,1.524992592
Callinectes bellicosus,2015,0.371950426,1.503928938,0.371950426,1.503928938
Callinectes bellicosus,2016,0.395174324,1.518653181,0.395174324,1.518653181
Callinectes bellicosus,2017,0.439620909,1.685044478,0.439620909,1.685044478
Callinectes bellicosus,2018,0.461796744,1.756410562,0.461796744,1.756410562
Callinectes bellicosus,2019,0.457915323,1.914971643,0.457915323,1.914971643
Callinectes bellicosus,2020,0.442485262,1.814359267,0.442485262,1.814359267
Callinectes bellicosus,2021,0.416984139,2.097635859,0.416984139,2.097635859
Carcharhinus falciformis,2000,1.774858221,0.001748021,1.774858221,0.001748021
Carcharhinus falciformis,2001,1.271060786,0.00147995,1.271060786,0.00147995
Carcharhinus falciformis,2002,0.699184347,0.000943563,0.699184347,0.000943563
Carcharhinus falciformis,2003,0.464536067,0.000614132,0.464536067,0.000614132
Carcharhinus falciformis,2004,0.608300776,0.051160833,0.608300776,0.051160833
Carcharhinus falciformis,2005,0.443368127,0.06633674,0.443368127,0.06633674
Carcharhinus falciformis,2006,0.226718573,0.030633997,0.226718573,0.030633997
Carcharhinus falciformis,2007,0.190178272,0.024882902,0.190178272,0.024882902
Carcharhinus falciformis,2008,0.141753087,0.108592613,0.141753087,0.108592613
Carcharhinus falciformis,2009,0.183116654,0.05813096,0.183116654,0.05813096
Carcharhinus falciformis,2010,0.199506726,0.137490515,0.199506726,0.137490515
Carcharhinus falciformis,2011,0.226273523,0.095228455,0.226273523,0.095228455
Carcharhinus falciformis,2012,0.315948934,0.139943833,0.315948934,0.139943833
Carcharhinus falciformis,2013,0.287446821,0.183964339,0.287446821,0.183964339
Carcharhinus falciformis,2014,0.168877192,0.242872456,0.168877192,0.242872456
Carcharhinus falciformis,2015,0.143319577,0.199075998,0.143319577,0.199075998
Carcharhinus falciformis,2016,0.301127402,0.413682039,0.301127402,0.413682039
Carcharhinus falciformis,2017,0.71832304,2.279764159,0.71832304,2.279764159
Carcharhinus falciformis,2018,0.837909167,1.971016341,0.837909167,1.971016341
Carcharhinus falciformis,2019,0.78345941,1.074571138,0.78345941,1.074571138
Carcharhinus falciformis,2020,0.99367199,2.613390791,0.99367199,2.613390791
Carcharhinus falciformis,2021,1.18396049,2.414895201,1.18396049,2.414895201
Carcharhinus leucas,2000,1.788730969,0.064688575,1.788730969,0.064688575
Carcharhinus leucas,2001,1.84178608,0.079410181,1.84178608,0.079410181
Carcharhinus leucas,2002,1.610952687,0.059985902,1.610952687,0.059985902
Carcharhinus leucas,2003,1.324755506,0.099819774,1.324755506,0.099819774
Carcharhinus leucas,2004,1.055013811,0.135752089,1.055013811,0.135752089
Carcharhinus leucas,2005,0.669142292,0.109135741,0.669142292,0.109135741
Carcharhinus leucas,2006,0.388516084,0.315030102,0.388516084,0.315030102
Carcharhinus leucas,2007,0.289667691,0.353675372,0.289667691,0.353675372
Carcharhinus leucas,2008,0.203175301,0.804432114,0.203175301,0.804432114
Carcharhinus leucas,2009,0.181214493,1.182728133,0.181214493,1.182728133
Carcharhinus leucas,2010,0.180259352,1.376320818,0.180259352,1.376320818
Carcharhinus leucas,2011,0.18998361,1.709968623,0.18998361,1.709968623
Carcharhinus leucas,2012,0.160523761,2.122366703,0.160523761,2.122366703
Carcharhinus leucas,2013,0.170082204,1.908785911,0.170082204,1.908785911
Carcharhinus leucas,2014,0.21362047,1.743029446,0.21362047,1.743029446
Carcharhinus leucas,2015,0.306872209,2.591943432,0.306872209,2.591943432
Carcharhinus leucas,2016,0.386664342,3.707349039,0.386664342,3.707349039
Carcharhinus leucas,2017,0.340441878,2.685479981,0.340441878,2.685479981
Carcharhinus leucas,2018,0.312921319,3.088664491,0.312921319,3.088664491
Carcharhinus leucas,2019,0.261603219,3.0738443,0.261603219,3.0738443
Carcharhinus leucas,2020,0.267773789,2.64096502,0.267773789,2.64096502
Carcharhinus leucas,2021,0.260290937,2.504354982,0.260290937,2.504354982
Centropomus robalito,2000,1.860719147,0.110162234,1.860719147,0.110162234
Centropomus robalito,2001,1.783710344,0.131880669,1.783710344,0.131880669
Centropomus robalito,2002,1.798763145,0.093810897,1.798763145,0.093810897
Centropomus robalito,2003,1.908096019,0.118977893,1.908096019,0.118977893
Centropomus robalito,2004,2.052278768,0.142949046,2.052278768,0.142949046
Centropomus robalito,2005,1.710599697,0.199618581,1.710599697,0.199618581
Centropomus robalito,2006,1.025704998,0.303484974,1.025704998,0.303484974
Centropomus robalito,2007,0.813667988,0.423163917,0.813667988,0.423163917
Centropomus robalito,2008,0.703023141,0.505317724,0.703023141,0.505317724
Centropomus robalito,2009,0.739647284,0.534927735,0.739647284,0.534927735
Centropomus robalito,2010,0.736101029,0.548079338,0.736101029,0.548079338
Centropomus robalito,2011,0.721414035,0.476605215,0.721414035,0.476605215
Centropomus robalito,2012,0.736184914,0.638844415,0.736184914,0.638844415
Centropomus robalito,2013,0.802695846,0.685843018,0.802695846,0.685843018
Centropomus robalito,2014,0.864406825,0.758130908,0.864406825,0.758130908
Centropomus robalito,2015,0.860232855,0.724893236,0.860232855,0.724893236
Centropomus robalito,2016,1.02093648,0.969992653,1.02093648,0.969992653
Centropomus robalito,2017,1.06914,0.988613416,1.06914,0.988613416
Centropomus robalito,2018,1.09702438,1.032115536,1.09702438,1.032115536
Centropomus robalito,2019,1.030139108,1.012303978,1.030139108,1.012303978
Centropomus robalito,2020,1.052963411,0.767386369,1.052963411,0.767386369
Centropomus robalito,2021,1.115880406,0.852860908,1.115880406,0.852860908
Gerreidae,2000,1.749456365,0.186758028,1.749456365,0.186758028
Gerreidae,2001,1.73086827,0.23975353,1.73086827,0.23975353
Gerreidae,2002,1.923042923,0.211417274,1.923042923,0.211417274
Gerreidae,2003,1.434826839,0.417502285,1.434826839,0.417502285
Gerreidae,2004,1.075348416,0.503028805,1.075348416,0.503028805
Gerreidae,2005,0.512128039,0.642335649,0.512128039,0.642335649
Gerreidae,2006,0.332487296,0.746558964,0.332487296,0.746558964
Gerreidae,2007,0.393878086,0.971091196,0.393878086,0.971091196
Gerreidae,2008,0.4099346,1.41698967,0.4099346,1.41698967
Gerreidae,2009,0.331166771,2.040168286,0.331166771,2.040168286
Gerreidae,2010,0.222323074,1.613744622,0.222323074,1.613744622
Gerreidae,2011,0.277182946,1.88095514,0.277182946,1.88095514
Gerreidae,2012,0.235586824,1.806057136,0.235586824,1.806057136
Gerreidae,2013,0.168714505,2.251782787,0.168714505,2.251782787
Gerreidae,2014,0.132004694,1.056603757,0.132004694,1.056603757
Gerreidae,2015,0.171146432,1.786882771,0.171146432,1.786882771
Gerreidae,2016,0.140917879,1.736934562,0.140917879,1.736934562
Gerreidae,2017,0.207652054,1.685440653,0.207652054,1.685440653
Gerreidae,2018,0.226644109,1.73471096,0.226644109,1.73471096
Gerreidae,2019,0.233049135,1.564903326,0.233049135,1.564903326
Gerreidae,2020,0.281835003,2.09691589,0.281835003,2.09691589
Gerreidae,2021,0.229960789,1.566988341,0.229960789,1.566988341
Gerreidae2,2000,1.705406503,0.069954186,1.705406503,0.069954186
Gerreidae2,2001,1.416823121,0.079602058,1.416823121,0.079602058
Gerreidae2,2002,1.209551386,0.06773066,1.209551386,0.06773066
Gerreidae2,2003,1.541977998,0.083768274,1.541977998,0.083768274
Gerreidae2,2004,2.259101562,0.06219109,2.259101562,0.06219109
Gerreidae2,2005,2.933568233,0.050622914,2.933568233,0.050622914
Gerreidae2,2006,1.272200045,0.108808041,1.272200045,0.108808041
Gerreidae2,2007,1.00600248,0.154190176,1.00600248,0.154190176
Gerreidae2,2008,1.04831705,0.162077525,1.04831705,0.162077525
Gerreidae2,2009,1.123463723,0.159472521,1.123463723,0.159472521
Gerreidae2,2010,1.313400696,0.140091585,1.313400696,0.140091585
Gerreidae2,2011,1.524790826,0.152057246,1.524790826,0.152057246
Gerreidae2,2012,1.742101842,0.156889099,1.742101842,0.156889099
Gerreidae2,2013,1.727525891,0.125826507,1.727525891,0.125826507
Gerreidae2,2014,2.17625234,0.099142883,2.17625234,0.099142883
Gerreidae2,2015,1.83614972,0.139609376,1.83614972,0.139609376
Gerreidae2,2016,1.941124445,0.162728004,1.941124445,0.162728004
Gerreidae2,2017,1.636977151,0.207193131,1.636977151,0.207193131
Gerreidae2,2018,1.748880537,0.185755568,1.748880537,0.185755568
